path,label,source,dataset,domain,generator,split_hint,sample_weight,is_hard_negative,group_level,group_token,group_id,added_iter,is_collected_hard
/ai_paas_jf/pangqs/AIGC/safepp_pytorch/data/test/chameleon/fake/0b733bff-f4a7-4ac8-b1b7-9367f040a4e2.jpg,1,chameleon_fake,chameleon,root,unknown_fake,seen,1.0,0,1,bucket_036,chameleon_fake:bucket_036,base,0
"/ai_paas_jf/pangqs/AIGC/safepp_pytorch/data/test/satellite/fake/41.85660216,-87.65822670_2019-07_jPzS8Ja8cBxMZ1B-TSd4hg_d0_z3_fake_B.png",1,satellite_fake,satellite,root,unknown_fake,seen,1.0,0,1,bucket_099,satellite_fake:bucket_099,base,0
/ai_paas_jf/pangqs/AIGC/safepp_pytorch/data/test/genimage/fake/121_adm_80.PNG,1,genimage_fake,genimage,root,unknown_fake,seen,1.0,0,1,bucket_054,genimage_fake:bucket_054,base,0
/ai_paas_jf/pangqs/AIGC/safepp_pytorch/data/test/genimage/fake/414_sdv4_00118.png,1,genimage_fake,genimage,root,unknown_fake,seen,1.0,0,1,bucket_032,genimage_fake:bucket_032,base,0
/ai_paas_jf/pangqs/AIGC/safepp_pytorch/data/test/genimage/fake/751_wukong_image18.png,1,genimage_fake,genimage,root,unknown_fake,seen,1.0,0,1,bucket_026,genimage_fake:bucket_026,base,0
/ai_paas_jf/pangqs/AIGC/safepp_pytorch/data/test/chameleon/fake/44ec335b-3509-4057-b70e-aada835d211e.jpg,1,chameleon_fake,chameleon,root,unknown_fake,seen,1.0,0,1,bucket_010,chameleon_fake:bucket_010,base,0
/ai_paas_jf/pangqs/AIGC/safepp_pytorch/data/test/satellite/fake/tv2lt9V.jpg,1,satellite_fake,satellite,root,unknown_fake,seen,1.0,0,1,bucket_057,satellite_fake:bucket_057,base,0
/ai_paas_jf/pangqs/AIGC/safepp_pytorch/data/test/genimage/fake/GLIDE_1000_200_05_520_glide_00176.png,1,genimage_fake,genimage,root,unknown_fake,seen,1.0,0,1,bucket_093,genimage_fake:bucket_093,base,0
/ai_paas_jf/pangqs/AIGC/safepp_pytorch/data/test/satellite/fake/0042470_fake_B.png,1,satellite_fake,satellite,root,unknown_fake,seen,1.0,0,1,bucket_112,satellite_fake:bucket_112,base,0
/ai_paas_jf/pangqs/AIGC/safepp_pytorch/data/test/genimage/fake/774_adm_112.PNG,1,genimage_fake,genimage,root,unknown_fake,seen,1.0,0,1,bucket_036,genimage_fake:bucket_036,base,0
